city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (Kelvin),Max Temp (F),Wind Speed
2075265,Busselton,10,AU,1559660210,61,-33.64,115.35,280.93,46.004000000000055,0.45
341297,Butajira,100,ET,1559660210,77,8.12,38.38,287.822,58.40960000000005,0.94
2110227,Butaritari,86,KI,1559660210,78,3.07,172.79,302.022,83.96960000000003,6.41
3985710,Cabo San Lucas,40,MX,1559660211,73,22.89,-109.91,300.37,80.99600000000005,2.1
3369174,Calvinia,91,ZA,1559660211,32,-31.47,19.78,291.722,65.42960000000001,5.17
1586203,Can Tho,75,VN,1559660211,100,10.04,105.78,298.15,77.0,1.5
1586185,Cao Bang,22,VN,1559660212,98,22.67,106.25,295.922,72.98960000000008,1.01
5915327,Cap-aux-Meules,75,CA,1559660212,76,47.38,-61.86,286.15,55.4,5.1
3369157,Cape Town,90,ZA,1559659937,93,-33.93,18.42,288.15,59.0,7.7
3466980,Caravelas,0,BR,1559660212,54,-17.73,-39.27,303.522,86.66960000000003,2.09
1014034,Carnarvon,41,ZA,1559660213,18,-30.97,22.13,292.922,67.58960000000009,7.71
2520058,Cartagena,0,ES,1559660213,30,37.63,-1.0,305.15,89.6,5.7
2269594,Cascais,20,PT,1559660175,55,38.7,-9.42,293.15,68.0,7.7
3896218,Castro,90,CL,1559660214,100,-42.48,-73.76,285.15,53.6,9.3
3382160,Cayenne,75,GF,1559660215,70,4.94,-52.33,303.15,86.0,3.6
5919850,Chapais,90,CA,1559660216,70,49.78,-74.86,280.15,44.6,4.1
2126199,Cherskiy,0,RU,1559660216,81,68.75,161.3,271.222,28.529600000000006,6.09
2038067,Chifeng,0,CN,1559660216,62,42.27,118.96,288.322,59.309600000000046,3.69
2126123,Chokurdakh,0,RU,1559660217,84,70.62,147.9,272.322,30.509600000000045,2.53
2192362,Christchurch,90,NZ,1559660217,92,-43.53,172.64,277.04,39.00200000000008,2.1
2025256,Chumikan,99,RU,1559660217,97,54.72,135.31,276.522,38.06960000000002,1.03
3443061,Chuy,0,UY,1559660122,52,-33.69,-53.46,288.522,59.669600000000024,0.71
3466165,Cidreira,7,BR,1559660218,68,-30.17,-50.22,291.722,65.42960000000001,1.87
5338122,Clovis,1,US,1559660218,64,36.83,-119.7,298.15,77.0,2.6
5924351,Clyde River,5,CA,1559660219,75,70.47,-68.59,279.15,42.8,2.6
3981460,Coahuayana,100,MX,1559660219,63,18.62,-100.35,301.622,83.24960000000007,0.56
3664539,Coari,100,BR,1559660219,89,-4.09,-63.14,300.722,81.62960000000001,1.5
3894426,Coihaique,90,CL,1559660220,100,-45.58,-72.07,280.15,44.6,1.5
2074113,Collie,0,AU,1559660220,61,-33.36,116.15,280.93,46.004000000000055,0.45
3860443,Comodoro Rivadavia,0,AR,1559660220,47,-45.87,-67.48,288.15,59.0,9.8
3465713,Conde,44,BR,1559659981,50,-11.81,-37.61,302.922,85.58960000000009,2.48
3893629,Coquimbo,90,CL,1559660221,100,-29.95,-71.34,282.15,48.2,4.1
3465329,Coruripe,13,BR,1559660221,47,-10.12,-36.18,303.022,85.76960000000003,3.88
2394819,Cotonou,40,BJ,1559660222,83,6.37,2.43,301.15,82.4,7.2
2253354,Dakar,0,SN,1559659993,65,14.69,-17.45,299.15,78.8,7.7
4684888,Dallas,5,US,1559659959,69,32.78,-96.8,302.59,84.99199999999999,3.1
4190581,Dalton,1,US,1559660223,60,34.77,-84.97,298.15,77.0,1.15
567177,Danilovka,27,RU,1559660223,54,50.35,44.12,293.322,68.30960000000005,4.77
87205,Darnah,0,LY,1559660223,76,32.77,22.64,293.222,68.12960000000001,4.82
2025099,Dauriya,40,RU,1559660224,88,49.93,116.85,282.722,49.229600000000005,6.7
1715335,Davila,83,PH,1559660224,74,18.47,120.58,303.322,86.30960000000005,3.82
1524606,Derzhavinsk,100,KZ,1559660224,50,51.1,66.31,294.222,69.92960000000001,8.38
1507390,Dikson,100,RU,1559660225,95,73.51,80.55,274.422,34.289600000000085,5.87
1714733,Dingle,98,PH,1559660225,75,11.0,122.67,299.522,79.46960000000003,1.99
691630,Dniprovka,20,UA,1559660225,73,48.07,35.19,298.15,77.0,4.0
